Questions,Department,answers
"The population of a country increased by an average of 2% per year from 2000 to 2003. If the population of this country was 2 000 000 on December 31, 2003, then the population of this country on January 1, 2000, to the nearest thousand would have been ",computer,a
The total surface area of all six sides of the rectangular box below is equal to 128 square inches. What is x in inches? ,computer,a
"The probability that an electronic device produced by a company does not function properly is equal to 0.1. If 10 devices are bought, then the probability, to the nearest thousandth, that 7 devices function properly is ",computer,a
"The exam scores of all 500 students were recorded and it was determined that these scores were normally distributed. If Jane's score is 0.8 standard deviation above the mean, then how many, to the nearest unit, students scored above Jane? ",computer,d
"Five different books (A, B, C, D and E) are to be arranged on a shelf. Books C and D are to be arranged first and second starting from the right of the shelf. The number of different orders in which books A, B and E may be arranged is ",computer,b
"The graphs of the two equations y = a x 2 + b x + c and y = A x 2 + B x + C, such that a and A have different signs and that the quantities b 2 - 4 a c and B 2 - 4 A C are both negative, ",electrical,c
"When a metallic ball bearing is placed inside a cylindrical container, of radius 2 cm, the height of the water, inside the container, increases by 0.6 cm. The radius, to the nearest tenth of a centimeter, of the ball bearing is ",mechanical,b
"A circle with center (4,-5) is tangent to the y-axis in the standard (x,y) coordinate plane. What is the radius of this circle? ",electrical,a
A particle travels 1 x 106 meters per second in a straight line for 5 x 10-6 seconds. How many meters has it traveled? ,mechanical,d
"The area of a trapezoid is 0.5 h (b1 + b2), where h is the altitude, and b1 and b2 are the lengths of the parallel bases. If a trapezoid has an altitude of 15 inches, an area of 105 square inches, and one of the bases 22 inches, what is the perimeter, in inches, of the trapezoid? ",mechanical,d
The two legs of a right triangle measure 6 and 8 inches respectively. What is the area of the circle that contains all 3 vertices of the triangle? ,mechanical,b
The function of an AM detector circuit is to,electrical,d
Most popular IF for receivers turning to 540 to 1650HZ is ,electrical,b
"Four charges q, 2q, 3q, 4q are placed at corners A, B, C and D of a square as shown below in the figure. The field at center O of square has the direction along",electrical,b
"Two cylindrical resistors are made of the same material and have the same resistance. The resistors, R1 and R2, have different radii, r1 and r2, and different lengths, L1 and L2. Which of the following relative values for radii and lengths would result in equal resistances?",electrical,a
An ion (q = +2e) enters a magnetic field of 1.2wb/m2 at a velocity of 2.5 x 105m/s perpendicular field. Determine the force on line ion.,mechanical,d
